id,process_id,company,home_win_odds,draw_odds,guest_win_odds,home_win_rating,draw_rating,guest_win_rating,returned_rating,kaili_index1,kaili_index2,kaili_index3,change_time
35,49,bet777.be,1.31,4.90,12.50,72.88,19.48,7.64,95.47,0.93,0.98,1.10,2017/3/12 07:22:00
36,49,BetAdria(哥斯达黎加),1.30,4.80,11.70,72.36,19.60,8.04,94.07,0.93,0.96,1.03,2018/3/8 18:55:00
37,49,Betbright,1.30,4.33,10.00,69.92,20.99,9.09,90.89,0.93,0.86,0.88,2018/2/15 01:10:00
38,49,BetClic.fr(法国),1.30,4.50,9.00,69.77,20.16,10.08,90.70,0.93,0.90,0.79,2018/1/4 09:44:00
39,49,BetClic.it(意大利),1.33,4.75,9.50,70.42,19.72,9.86,93.66,0.95,0.95,0.84,2018/1/4 09:44:00
40,49,BetClick(英国),1.33,4.75,9.50,70.42,19.72,9.86,93.66,0.95,0.95,0.84,2018/1/7 14:59:00
41,49,BETCRIS(哥斯达黎加),1.34,4.66,10.91,70.90,20.39,8.71,95.01,0.95,0.93,0.96,2018/2/14 09:13:00
42,49,Betfair ES Sportsbook,1.30,5.00,9.00,71.20,18.51,10.28,92.56,0.93,1.00,0.79,2018/1/9 23:41:00
43,49,Betfair UK Sportsbook,1.30,5.00,9.00,71.20,18.51,10.28,92.56,0.93,1.00,0.79,2017/12/5 15:01:00
44,49,Betflag.it(意大利),1.30,4.35,10.00,69.99,20.92,9.10,90.98,0.93,0.87,0.88,2018/2/16 01:22:00
45,49,Betfred(英国),1.30,4.60,11.00,71.39,20.17,8.44,92.80,0.93,0.92,0.97,2018/2/15 01:10:00
46,49,Bethard,1.31,4.95,12.75,73.13,19.35,7.51,95.80,0.93,0.99,1.12,2018/3/14 15:20:00
47,49,BetOlimp,1.36,4.83,12.25,71.81,20.22,7.97,97.66,0.97,0.96,1.08,2018/2/15 01:10:00
48,49,Betrally,1.29,4.85,12.25,72.92,19.40,7.68,94.07,0.92,0.97,1.08,2018/3/13 23:03:00
49,49,Betregal,1.28,4.50,10.00,70.80,20.14,9.06,90.62,0.91,0.90,0.88,2018/2/27 18:17:00
50,49,Betsafe(哥斯达黎加),1.34,5.15,11.50,72.64,18.90,8.46,97.33,0.95,1.03,1.01,2018/3/9 20:22:00
51,49,Betsson Sportsbook(英国),1.34,5.15,11.50,72.64,18.90,8.46,97.33,0.95,1.03,1.01,2018/3/9 20:22:00
52,49,Betstar(澳大利亚),1.33,4.33,11.00,70.02,21.51,8.47,93.13,0.95,0.86,0.97,2017/12/31 10:07:00
53,49,better.it(意大利),1.32,4.45,9.00,69.29,20.55,10.16,91.46,0.94,0.89,0.79,2017/12/21 03:51:00
54,49,BetVictor,1.30,4.75,11.50,72.11,19.74,8.15,93.75,0.93,0.95,1.01,2017/3/12 23:03:00
55,49,BINGOAL(比利时),1.38,4.50,9.00,68.49,21.00,10.50,94.52,0.98,0.90,0.79,2017/12/5 15:01:00
56,49,BoDog(哥斯达黎加),1.32,4.60,10.00,70.47,20.22,9.30,93.03,0.94,0.92,0.88,2018/2/26 19:46:00
57,49,Boyle Sports,1.30,4.20,9.50,69.14,21.40,9.46,89.88,0.93,0.84,0.84,2018/3/13 00:58:00
58,49,Boylesports(马恩岛),1.30,4.20,9.50,69.14,21.40,9.46,89.88,0.93,0.84,0.84,2018/3/13 23:03:00
59,49,CashPoint(奥地利),1.36,4.70,9.60,69.88,20.22,9.90,95.04,0.97,0.94,0.85,2017/12/16 09:51:00
60,49,ComeOn,1.31,4.95,12.50,73.02,19.33,7.65,95.66,0.93,0.99,1.10,2018/3/13 23:03:00
61,49,CoolBet,1.43,4.60,9.00,68.04,21.15,10.81,97.29,1.02,0.92,0.79,2017/12/9 07:23:00
62,49,Dafabet(菲律宾),1.32,4.60,10.00,70.47,20.22,9.30,93.03,0.94,0.92,0.88,2017/2/26 12:03:00
63,49,Danske Spil,1.33,4.90,10.50,71.53,19.41,9.06,95.13,0.95,0.98,0.93,2017/3/12 23:03:00
64,49,Dhoze,1.34,5.15,11.50,72.64,18.90,8.46,97.33,0.95,1.03,1.01,2018/3/9 20:22:00
65,49,dinamobet,1.32,4.50,9.00,69.44,20.37,10.19,91.67,0.94,0.90,0.79,2017/12/11 09:51:00
66,49,Domusbet.it(意大利),1.37,4.51,10.02,69.42,21.09,9.49,95.11,0.98,0.90,0.88,2017/12/28 08:59:00
67,49,ErosBet,1.31,4.33,8.00,68.20,20.63,11.17,89.34,0.93,0.86,0.71,2017/12/11 14:15:00
68,49,Eurobet.it(意大利),1.30,4.75,12.00,72.36,19.80,7.84,94.07,0.93,0.95,1.06,2018/1/25 23:38:00
69,49,Europe-bet,1.35,4.40,9.75,69.19,21.23,9.58,93.41,0.96,0.88,0.86,2018/1/20 02:52:00
70,49,ExclusiveBet,1.33,4.33,8.50,68.32,20.99,10.69,90.87,0.95,0.86,0.75,2017/12/12 10:19:00
71,49,Fivebet.it(意大利),1.37,4.50,10.00,69.37,21.12,9.50,95.04,0.98,0.90,0.88,2017/12/28 08:59:00
72,49,Fonbet(俄罗斯),1.30,4.90,12.50,73.03,19.38,7.60,94.94,0.93,0.98,1.10,2018/2/1 21:46:00
73,49,GentingBet,1.33,4.75,10.00,70.77,19.82,9.41,94.13,0.95,0.95,0.88,2018/2/9 17:39:00
74,49,Germania Sport(德国),1.35,4.60,10.50,70.32,20.64,9.04,94.93,0.96,0.92,0.93,2018/1/28 00:22:00
75,49,Giocodigitale.it,1.36,5.00,8.75,70.06,19.06,10.89,95.28,0.97,1.00,0.77,2017/12/4 18:40:00
