id,process_id,company,pankou,chupan_home_rating,chupan_pankou,chupan_away_rating,instant_home_rating,instant_pankou,instant_away_rating
97,52,Bet365,盘口1,0.90,球半,1.03,0.89,球半,1.04
98,52,Bet365,盘口2,0.62,一球/球半,1.25,0.62,一球/球半,1.25
99,52,Bet365,盘口3,1.08,球半/两球,0.73,1.08,球半/两球,0.73
100,52,Bet365,盘口4,1.50,两球,0.50,1.42,两球,0.52
101,52,韦德,盘口1,0.90,球半,1.02,0.87,球半,1.05
102,52,韦德,盘口2,1.16,球半/两球,0.79,1.11,球半/两球,0.81
103,52,韦德,盘口3,0.67,一球/球半,1.36,0.63,一球/球半,1.41
104,52,明陞,盘口1,0.90,球半,1.00,0.90,球半,1.00
105,52,10BET,盘口1,0.90,球半,1.00,0.90,球半,1.00
106,52,10BET,盘口2,1.12,球半/两球,0.76,1.12,球半/两球,0.76
107,52,10BET,盘口3,0.64,一球/球半,1.33,0.64,一球/球半,1.33
108,52,10BET,盘口4,1.59,两球,0.53,1.59,两球,0.53
109,52,金宝博,盘口1,0.89,球半,1.01,0.87,球半,1.03
110,52,金宝博,盘口2,1.13,球半/两球,0.78,1.11,球半/两球,0.80
111,52,12bet,盘口1,0.90,球半,1.00,0.90,球半,1.00
112,52,利记,盘口1,0.85,球半,1.05,0.85,球半,1.05
113,52,盈禾,盘口1,0.89,球半,1.00,0.87,球半,1.02
114,52,盈禾,盘口2,1.13,球半/两球,0.77,1.11,球半/两球,0.79
115,52,盈禾,盘口3,1.11,球半/两球,0.79,1.11,球半/两球,0.79
116,52,18Bet,盘口1,0.90,球半,1.00,0.87,球半,1.01
117,52,18Bet,盘口2,1.13,球半/两球,0.78,1.11,球半/两球,0.80
118,53,韦德,盘口1,0.92,受让半球/一球,1.00,0.91,受让半球/一球,1.01
119,53,韦德,盘口2,1.20,受让半球,0.76,1.18,受让半球,0.76
120,53,韦德,盘口3,0.62,受让一球,1.46,0.62,受让一球,1.45
